"filename", "language", "C#", "XML", "JSON with Comments", "Markdown", "JSON", "HTML", "TypeScript", "TypeScript JSX", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\craym\Desktop\school\Project\IMGWeb\bin\Publish\API.runtimeconfig.json", "JSON", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 21
"c:\Users\craym\Desktop\school\Project\IMGWeb\bin\Publish\Application.deps.json", "JSON", 0, 0, 0, 0, 1267, 0, 0, 0, 0, 0, 0, 0, 1267
"c:\Users\craym\Desktop\school\Project\IMGWeb\bin\Publish\Domain.deps.json", "JSON", 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 0, 0, 343
"c:\Users\craym\Desktop\school\Project\IMGWeb\bin\Publish\Infrastructure.deps.json", "JSON", 0, 0, 0, 0, 1314, 0, 0, 0, 0, 0, 0, 0, 1314
"c:\Users\craym\Desktop\school\Project\IMGWeb\bin\Publish\Persistence.deps.json", "JSON", 0, 0, 0, 0, 1151, 0, 0, 0, 0, 0, 0, 0, 1151
"c:\Users\craym\Desktop\school\Project\IMGWeb\bin\Publish\appsettings.Development.json", "JSON", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\craym\Desktop\school\Project\IMGWeb\bin\Publish\appsettings.json", "JSON", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\craym\Desktop\school\Project\IMGWeb\bin\Publish\wwwroot\asset-manifest.json", "JSON", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 31
"c:\Users\craym\Desktop\school\Project\IMGWeb\bin\Publish\wwwroot\index.html", "HTML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\craym\Desktop\school\Project\IMGWeb\bin\Publish\wwwroot\manifest.json", "JSON", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\craym\Desktop\school\Project\IMGWeb\bin\Publish\wwwroot\static\css\main.6900ca00.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 317, 0, 363
"c:\Users\craym\Desktop\school\Project\IMGWeb\bin\Publish\wwwroot\static\js\787.627756db.chunk.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2
"c:\Users\craym\Desktop\school\Project\IMGWeb\bin\Publish\wwwroot\static\js\main.9cb2dfea.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 3
"c:\Users\craym\Desktop\school\Project\IMGWeb\bin\Publish\wwwroot\static\media\brand-icons.6729d29753e000c17489.svg", "XML", 0, 1004, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 1009
